Municipio,Passivo
Arcos de Valdevez,0
Caminha,2281.97
Melgaço,3257.48
Monção,400
Paredes de Coura,3081.12
Ponte da Barca,1291.75
Ponte de Lima,0
Valença,1000
Viana do Castelo,5359.41
Vila Nova de Cerveira,0
Amares,495
Barcelos,4760
Braga,5000
Esposende,0
Terras de Bouro,0
Vila Verde,14306.06
Fafe,0
Guimarães,0
Póvoa de Lanhoso,2769.21
Santo Tirso,3495.5
Trofa,23716.36
Vieira do Minho,3056.98
Vila Nova de Famalicão,3963.11
Vizela,0
Espinho,9126.75
Gondomar,909.7
Maia,0
Matosinhos,3134.12
Porto,5569.97
Póvoa de Varzim,7380.94
Valongo,16263.9
Vila do Conde,33251.91
Vila Nova de Gaia,24647.96
Amarante,825.4
Baião,230
Cabeceiras de Basto,0
Castelo de Paiva,1300
Celorico de Basto,0
Cinfães,0
Felgueiras,0
Lousada,284.19
Marco de Canaveses,0
Mondim de Basto,0
Paços de Ferreira,8476.47
Paredes,22088.49
Penafiel,1736.01
Resende,0
Ribeira de Pena,2033.93
Arouca,306.2
Oliveira de Azeméis,1801.53
Santa Maria da Feira,13679.47
São João da Madeira,0
Vale de Cambra,2145.86
Alijó,0
Armamar,1372.99
Carrazeda de Ansiães,0
Freixo de Espada à Cinta,5902.84
Lamego,15882.36
Mesão Frio,200
Moimenta da Beira,2247.49
Penedono,0
Peso da Régua,4961.95
Sabrosa,0
Santa Marta de Penaguião,0
São João da Pesqueira,0
Sernancelhe,0
Tabuaço,0
Tarouca,86.8
Torre de Moncorvo,533
Vila Flor,0
Vila Nova de Foz Côa,0
Vila Real,200
Alfândega da Fé,17166.67
Boticas,0
Bragança,453.02
Chaves,8652.82
Macedo de Cavaleiros,1100
Miranda do Douro,4380.8
Mirandela,7600
Mogadouro,0
Montalegre,0
Murça,0
Valpaços,2649.48
Vila Pouca de Aguiar,363.27
Vimioso,0
Vinhais,0
Águeda,0
Albergaria-a-Velha,0
Anadia,1535.04
Aveiro,0
Estarreja,687.47
Ílhavo,1404.25
Mealhada,0
Murtosa,0
Oliveira do Bairro,0
Ovar,0
Sever do Vouga,22.58
Vagos,3951.94
Cantanhede,0
Coimbra,6751.2
Condeixa-a-Nova,208.5
Figueira da Foz,0
Mira,0
Montemor-o-Velho,450
Penacova,76.93
Soure,1695.32
Batalha,0
Leiria,1500
Marinha Grande,0
Pombal,0
Porto de Mós,0
Alvaiázere,1718.33
Ansião,5110.02
Arganil,0
Castanheira de Pêra,0
Figueiró dos Vinhos,0
Góis,0
Lousã,980.04
Miranda do Corvo,0
Oliveira do Hospital,0
Pampilhosa da Serra,0
Pedrógão Grande,0
Penela,623.59
Tábua,3601.11
Vila Nova de Poiares,390
Aguiar da Beira,0
Carregal do Sal,0
Castro Daire,194.12
Mangualde,6643.65
Mortágua,0
Nelas,3598.09
Oliveira de Frades,1188.14
Penalva do Castelo,0
Santa Comba Dão,0
São Pedro do Sul,3759.48
Sátão,0
Tondela,0
Vila Nova de Paiva,568.89
Viseu,320.44
Vouzela,0
Mação,0
Oleiros,0
Proença-a-Nova,0
Sertã,2130.88
Vila de Rei,0
Fornos de Algodres,0
Gouveia,1107.35
Seia,1660.84
Almeida,0
Celorico da Beira,0
Figueira de Castelo Rodrigo,0
Guarda,13954.23
Manteigas,0
Mêda,4000
Pinhel,0
Sabugal,0
Trancoso,2508.57
Castelo Branco,1636.72
Idanha-a-Nova,0
Penamacor,0
Vila Velha de Ródão,0
Belmonte,494.47
Covilhã,2815.02
Fundão,48270.7
Alcobaça,1279.39
Alenquer,1304.86
